"id_supplier","supplier_name","supplier_description","date_signed_contract","supplier_int","supplier_float"
1853,"Постачальник №1853","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2015-07-14,1275,2.27
1854,"Постачальник №1854","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-05-30,1958,0.46
1855,"Постачальник №1855","Відомий постачальник зоотоварів широкого використання.",2014-11-22,594,0.76
1856,"Постачальник №1856","Відомий постачальник зоотоварів широкого використання.",2010-03-09,913,0.01
1857,"Постачальник №1857","Відомий постачальник зоотоварів широкого використання.",2011-09-12,1357,1.47
1858,"Постачальник №1858","Постачальник товарів люкс-класу.",2020-04-25,1388,0.55
1859,"Постачальник №1859","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-06-09,175,0.2
1860,"Постачальник №1860","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-03-06,1629,1.8
1861,"Постачальник №1861","Постачальник товарів люкс-класу.",2019-08-28,234,1.08
1862,"Постачальник №1862","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-03-27,1845,0.35
1863,"Постачальник №1863","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-01-05,1296,1.4
1864,"Постачальник №1864","Відомий постачальник зоотоварів широкого використання.",2017-03-03,993,0.2
1865,"Постачальник №1865","Постачальник товарів люкс-класу.",2015-12-13,1167,0.13
1866,"Постачальник №1866","Відомий постачальник зоотоварів широкого використання.",2017-06-03,1371,1.06
1867,"Постачальник №1867","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-10-03,150,1.17
1868,"Постачальник №1868","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2023-02-25,1160,0.56
1869,"Постачальник №1869","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2016-05-27,1345,1.49
1870,"Постачальник №1870","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-05-13,1990,1.36
1871,"Постачальник №1871","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-10-25,214,1.16
1872,"Постачальник №1872","Відомий постачальник зоотоварів широкого використання.",2019-05-05,1222,1.66
1873,"Постачальник №1873","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-09-02,773,0.2
1874,"Постачальник №1874","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2013-08-11,474,0.58
1875,"Постачальник №1875","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-01-24,1545,0.56
1876,"Постачальник №1876","Відомий постачальник зоотоварів широкого використання.",2022-03-06,1823,1.06
1877,"Постачальник №1877","Постачальник товарів люкс-класу.",2016-02-02,67,2.41
1878,"Постачальник №1878","Постачальник товарів люкс-класу.",2017-10-17,425,1.96
1879,"Постачальник №1879","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2014-06-10,1056,0.27
1880,"Постачальник №1880","Відомий постачальник зоотоварів широкого використання.",2021-09-22,309,0.65
1881,"Постачальник №1881","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2022-02-23,23,0.05
1882,"Постачальник №1882","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-03-14,1618,1.56
1883,"Постачальник №1883","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-12-14,314,0.74
1884,"Постачальник №1884","Постачальник товарів люкс-класу.",2019-07-25,1431,0.78
1885,"Постачальник №1885","Постачальник товарів люкс-класу.",2020-01-16,505,0.51
1886,"Постачальник №1886","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2014-07-05,1139,0.91
1887,"Постачальник №1887","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2014-08-13,793,1.28
1888,"Постачальник №1888","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-05-02,294,1.56
1889,"Постачальник №1889","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-07-03,1566,1.08
1890,"Постачальник №1890","Відомий постачальник зоотоварів широкого використання.",2016-12-11,678,0.76
1891,"Постачальник №1891","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-01-23,1668,1.29
1892,"Постачальник №1892","Відомий постачальник зоотоварів широкого використання.",2019-05-29,502,1.31
1893,"Постачальник №1893","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2011-06-06,721,1.15
1894,"Постачальник №1894","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-11-17,884,0.24
1895,"Постачальник №1895","Відомий постачальник зоотоварів широкого використання.",2021-12-27,1606,0.76
1896,"Постачальник №1896","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2023-07-10,1178,0.86
1897,"Постачальник №1897","Відомий постачальник зоотоварів широкого використання.",2022-03-13,39,0.15
1898,"Постачальник №1898","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-05-07,352,0.09
1899,"Постачальник №1899","Постачальник товарів люкс-класу.",2012-10-03,1947,0.28
1900,"Постачальник №1900","Постачальник товарів люкс-класу.",2012-05-09,1662,0.73
1901,"Постачальник №1901","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-10-01,1767,1.54
1902,"Постачальник №1902","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-01-08,1982,0.46
1903,"Постачальник №1903","Постачальник товарів люкс-класу.",2019-12-06,1355,0.03
1904,"Постачальник №1904","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2022-07-13,1685,1.64
1905,"Постачальник №1905","Постачальник товарів люкс-класу.",2016-08-01,353,0.33
1906,"Постачальник №1906","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2015-06-24,1651,2.6
1907,"Постачальник №1907","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-12-14,328,0.51
1908,"Постачальник №1908","Постачальник товарів люкс-класу.",2018-03-31,1041,0.89
1909,"Постачальник №1909","Відомий постачальник зоотоварів широкого використання.",2015-11-05,1404,1
1910,"Постачальник №1910","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-10-06,862,1.42
1911,"Постачальник №1911","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2013-03-09,1870,2.45
1912,"Постачальник №1912","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-09-24,408,1.04
1913,"Постачальник №1913","Відомий постачальник зоотоварів широкого використання.",2020-02-19,135,1.03
1914,"Постачальник №1914","Відомий постачальник зоотоварів широкого використання.",2010-04-06,195,0.09
1915,"Постачальник №1915","Постачальник товарів люкс-класу.",2017-11-09,1953,0.14
1916,"Постачальник №1916","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2023-09-08,728,1.22
1917,"Постачальник №1917","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-03-31,207,0.21
1918,"Постачальник №1918","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2019-11-12,1499,0.85
1919,"Постачальник №1919","Відомий постачальник зоотоварів широкого використання.",2019-04-12,1304,0.47
1920,"Постачальник №1920","Постачальник товарів люкс-класу.",2013-07-29,599,0.69
1921,"Постачальник №1921","Постачальник товарів люкс-класу.",2019-06-26,889,2.34
1922,"Постачальник №1922","Постачальник товарів люкс-класу.",2015-01-24,46,1.1
1923,"Постачальник №1923","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-02-06,27,1.57
1924,"Постачальник №1924","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2011-12-30,1420,0.02
1925,"Постачальник №1925","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2021-04-01,1073,0.19
1926,"Постачальник №1926","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-12-13,1160,1.29
1927,"Постачальник №1927","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-04-08,1249,0.19
1928,"Постачальник №1928","Постачальник товарів люкс-класу.",2019-01-14,854,0.1
1929,"Постачальник №1929","Постачальник товарів люкс-класу.",2012-11-20,610,0.7
1930,"Постачальник №1930","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-11-13,901,0.83
1931,"Постачальник №1931","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-01-10,1914,0.2
1932,"Постачальник №1932","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-08-02,77,1.18
1933,"Постачальник №1933","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2012-07-20,1747,0.68
1934,"Постачальник №1934","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-07-06,607,1.28
1935,"Постачальник №1935","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2020-12-19,922,0.64
1936,"Постачальник №1936","Постачальник товарів люкс-класу.",2011-08-26,20,1.38
1937,"Постачальник №1937","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-04-12,1693,0.6
1938,"Постачальник №1938","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-04-07,1208,1.21
1939,"Постачальник №1939","Постачальник товарів люкс-класу.",2015-09-12,1270,2.25
1940,"Постачальник №1940","Постачальник товарів люкс-класу.",2012-11-20,137,1.78
1941,"Постачальник №1941","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-03-14,1744,1.3
1942,"Постачальник №1942","Відомий постачальник зоотоварів широкого використання.",2014-01-21,725,0.81
1943,"Постачальник №1943","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-10-20,225,1.24
1944,"Постачальник №1944","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-01-10,1279,0.17
1945,"Постачальник №1945","Відомий постачальник зоотоварів широкого використання.",2017-08-09,1585,0.43
1946,"Постачальник №1946","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-06-11,946,0.81
1947,"Постачальник №1947","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-09-30,1578,0.65
1948,"Постачальник №1948","Постачальник товарів люкс-класу.",2014-09-20,1481,0.3
1949,"Постачальник №1949","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-03-13,651,0.42
1950,"Постачальник №1950","Постачальник товарів люкс-класу.",2017-10-28,1601,2.82
1951,"Постачальник №1951","Постачальник товарів люкс-класу.",2017-07-18,354,0.13
1952,"Постачальник №1952","Відомий постачальник зоотоварів широкого використання.",2017-10-29,203,0.47
1953,"Постачальник №1953","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-04-13,473,0.34
1954,"Постачальник №1954","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-12-18,1137,0.24
1955,"Постачальник №1955","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-08-11,318,1.38
1956,"Постачальник №1956","Відомий постачальник зоотоварів широкого використання.",2022-07-17,974,0.34
1957,"Постачальник №1957","Постачальник товарів люкс-класу.",2011-04-19,1535,0.02
1958,"Постачальник №1958","Постачальник товарів люкс-класу.",2023-04-08,242,0.38
1959,"Постачальник №1959","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-12-20,223,0.43
1960,"Постачальник №1960","Відомий постачальник зоотоварів широкого використання.",2020-05-12,1550,1.96
1961,"Постачальник №1961","Постачальник товарів люкс-класу.",2015-05-27,980,1.43
1962,"Постачальник №1962","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-09-15,232,2.01
1963,"Постачальник №1963","Постачальник товарів люкс-класу.",2018-06-10,1880,0.35
1964,"Постачальник №1964","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2022-10-01,37,1.36
1965,"Постачальник №1965","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-10-26,1897,2
1966,"Постачальник №1966","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2015-09-08,605,0.96
1967,"Постачальник №1967","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-10-20,1162,0.88
1968,"Постачальник №1968","Відомий постачальник зоотоварів широкого використання.",2011-11-08,49,1.27
1969,"Постачальник №1969","Відомий постачальник зоотоварів широкого використання.",2016-10-19,1588,0.77
1970,"Постачальник №1970","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-05-14,967,0.19
1971,"Постачальник №1971","Відомий постачальник зоотоварів широкого використання.",2017-07-13,662,1.14
1972,"Постачальник №1972","Відомий постачальник зоотоварів широкого використання.",2022-01-24,684,0.77
1973,"Постачальник №1973","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-02-26,767,0.22
1974,"Постачальник №1974","Відомий постачальник зоотоварів широкого використання.",2013-06-21,992,1.57
1975,"Постачальник №1975","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-06-26,1803,1.13
1976,"Постачальник №1976","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-11-12,274,0.95
1977,"Постачальник №1977","Постачальник товарів люкс-класу.",2018-08-22,639,0.45
1978,"Постачальник №1978","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2015-02-21,1164,1.11
1979,"Постачальник №1979","Відомий постачальник зоотоварів широкого використання.",2011-09-07,1223,0.67
1980,"Постачальник №1980","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-06-28,899,0.78
1981,"Постачальник №1981","Відомий постачальник зоотоварів широкого використання.",2014-06-18,1467,0.25
1982,"Постачальник №1982","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-07-28,1710,1.43
1983,"Постачальник №1983","Постачальник товарів люкс-класу.",2011-02-26,1874,0.6
1984,"Постачальник №1984","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-03-31,1215,1.71
1985,"Постачальник №1985","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-01-18,1904,1.05
1986,"Постачальник №1986","Постачальник товарів люкс-класу.",2020-01-18,817,0.61
1987,"Постачальник №1987","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-08-03,838,0.12
1988,"Постачальник №1988","Постачальник товарів люкс-класу.",2016-04-03,30,1.72
1989,"Постачальник №1989","Постачальник товарів люкс-класу.",2020-09-16,198,0.25
1990,"Постачальник №1990","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-09-21,804,1.55
1991,"Постачальник №1991","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-02-02,1205,1.1
1992,"Постачальник №1992","Постачальник товарів люкс-класу.",2016-01-10,669,0.93
1993,"Постачальник №1993","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2021-12-19,1829,0.25
1994,"Постачальник №1994","Постачальник товарів люкс-класу.",2020-09-10,189,0.74
1995,"Постачальник №1995","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-04-16,878,1.28
1996,"Постачальник №1996","Відомий постачальник зоотоварів широкого використання.",2013-09-15,426,0.08
1997,"Постачальник №1997","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2022-01-20,1000,0.26
1998,"Постачальник №1998","Постачальник товарів люкс-класу.",2022-12-03,182,0.28
1999,"Постачальник №1999","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-07-16,426,0.54
2000,"Постачальник №2000","Постачальник товарів люкс-класу.",2019-03-29,183,0.46
2001,"Постачальник №2001","Відомий постачальник зоотоварів широкого використання.",2011-11-19,958,0.51
2002,"Постачальник №2002","Постачальник товарів люкс-класу.",2016-02-09,1070,0.24
2003,"Постачальник №2003","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-05-01,1437,0.54
2004,"Постачальник №2004","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2015-05-18,495,1.22
2005,"Постачальник №2005","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2022-05-29,1587,0.17
2006,"Постачальник №2006","Відомий постачальник зоотоварів широкого використання.",2012-09-30,1568,0.62
2007,"Постачальник №2007","Відомий постачальник зоотоварів широкого використання.",2011-12-02,897,1.81
2008,"Постачальник №2008","Відомий постачальник зоотоварів широкого використання.",2017-01-23,674,0.64
2009,"Постачальник №2009","Відомий постачальник зоотоварів широкого використання.",2012-09-28,719,2.05
2010,"Постачальник №2010","Постачальник товарів люкс-класу.",2020-09-14,1290,0.56
2011,"Постачальник №2011","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-08-08,837,0.84
2012,"Постачальник №2012","Постачальник товарів люкс-класу.",2021-02-23,1797,0.65
2013,"Постачальник №2013","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-03-19,183,0.44
2014,"Постачальник №2014","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-01-14,465,0.75
2015,"Постачальник №2015","Постачальник товарів люкс-класу.",2011-07-24,753,0.28
2016,"Постачальник №2016","Постачальник товарів люкс-класу.",2020-12-15,1658,1.12
2017,"Постачальник №2017","Постачальник товарів люкс-класу.",2014-05-25,626,1.17
2018,"Постачальник №2018","Постачальник товарів люкс-класу.",2012-06-21,1154,0.05
2019,"Постачальник №2019","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-04-17,1435,0.7
2020,"Постачальник №2020","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2021-04-05,1279,0.68
2021,"Постачальник №2021","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2022-01-09,1854,0.13
2022,"Постачальник №2022","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2014-09-13,1163,1.11
2023,"Постачальник №2023","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-05-23,1856,2.06
2024,"Постачальник №2024","Відомий постачальник зоотоварів широкого використання.",2016-07-12,613,0.14
2025,"Постачальник №2025","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2018-10-26,593,0.53
2026,"Постачальник №2026","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2023-01-18,959,0.82
2027,"Постачальник №2027","Постачальник товарів люкс-класу.",2010-06-13,1774,0.26
2028,"Постачальник №2028","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2013-11-06,1123,0.07
2029,"Постачальник №2029","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2010-03-08,1450,1.99
2030,"Постачальник №2030","Постачальник товарів люкс-класу.",2017-10-05,1421,1.13
2031,"Постачальник №2031","Відомий постачальник зоотоварів широкого використання.",2022-09-06,1472,1.09
2032,"Постачальник №2032","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-07-15,185,0.41
2033,"Постачальник №2033","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2020-09-22,1886,0.59
2034,"Постачальник №2034","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-11-23,1311,0.82
2035,"Постачальник №2035","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-04-28,51,0.91
2036,"Постачальник №2036","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-05-30,1762,0.13
2037,"Постачальник №2037","Постачальник товарів люкс-класу.",2021-02-17,1916,0.04
2038,"Постачальник №2038","Постачальник товарів люкс-класу.",2022-12-08,1553,1.2
2039,"Постачальник №2039","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-08-06,1481,1.09
2040,"Постачальник №2040","Постачальник товарів люкс-класу.",2017-06-04,627,0.31
2041,"Постачальник №2041","Відомий постачальник зоотоварів широкого використання.",2022-09-19,1458,0.05
2042,"Постачальник №2042","Постачальник товарів люкс-класу.",2020-10-13,329,0.65
2043,"Постачальник №2043","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-11-29,318,1.65
2044,"Постачальник №2044","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-06-05,634,0.31
2045,"Постачальник №2045","Постачальник товарів люкс-класу.",2014-11-27,1211,0.57
2046,"Постачальник №2046","Постачальник товарів люкс-класу.",2017-05-01,1722,0.52
2047,"Постачальник №2047","Постачальник товарів люкс-класу.",2022-05-25,1622,0.06
2048,"Постачальник №2048","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2012-04-24,943,0.02
2049,"Постачальник №2049","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2017-05-15,1056,0.72
2050,"Постачальник №2050","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-05-13,102,0.99
2051,"Постачальник №2051","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-10-31,1640,0.2
2052,"Постачальник №2052","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-03-14,124,0.35
2053,"Постачальник №2053","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2014-12-20,1474,0.83
2054,"Постачальник №2054","Відомий постачальник зоотоварів широкого використання.",2011-03-29,1665,1.53
2055,"Постачальник №2055","Відомий постачальник зоотоварів широкого використання.",2014-11-16,1426,0.01
2056,"Постачальник №2056","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2019-09-23,71,0.4
2057,"Постачальник №2057","Відомий постачальник зоотоварів широкого використання.",2021-01-04,859,0.07
2058,"Постачальник №2058","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-04-30,1607,0.6
2059,"Постачальник №2059","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2017-03-02,1572,0.22
2060,"Постачальник №2060","Відомий постачальник зоотоварів широкого використання.",2012-05-20,1861,0.24
2061,"Постачальник №2061","Постачальник товарів люкс-класу.",2019-01-17,1611,1.11
2062,"Постачальник №2062","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2022-05-21,383,0.99
2063,"Постачальник №2063","Постачальник товарів люкс-класу.",2022-01-28,1307,1.45
2064,"Постачальник №2064","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2022-04-15,1578,0.35
2065,"Постачальник №2065","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-06-24,1611,0.18
2066,"Постачальник №2066","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-10-25,412,0.56
2067,"Постачальник №2067","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-11-11,1569,0.16
2068,"Постачальник №2068","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2011-05-15,1915,0.37
2069,"Постачальник №2069","Постачальник товарів люкс-класу.",2015-09-17,1642,2.06
2070,"Постачальник №2070","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-03-28,544,0.6
2071,"Постачальник №2071","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2010-10-14,249,0.59
2072,"Постачальник №2072","Відомий постачальник зоотоварів широкого використання.",2010-10-17,855,0.29
2073,"Постачальник №2073","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-09-24,1621,0.8
2074,"Постачальник №2074","Відомий постачальник зоотоварів широкого використання.",2022-06-05,1324,0.64
2075,"Постачальник №2075","Відомий постачальник зоотоварів широкого використання.",2010-03-17,190,0.24
2076,"Постачальник №2076","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-04-19,1957,1.63
2077,"Постачальник №2077","Відомий постачальник зоотоварів широкого використання.",2011-01-17,1632,0.87
2078,"Постачальник №2078","Постачальник товарів люкс-класу.",2011-11-15,1010,2.17
2079,"Постачальник №2079","Відомий постачальник зоотоварів широкого використання.",2021-03-26,1064,0.5
2080,"Постачальник №2080","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2020-06-14,1615,0.79
2081,"Постачальник №2081","Відомий постачальник зоотоварів широкого використання.",2017-04-06,736,1.25
2082,"Постачальник №2082","Постачальник товарів люкс-класу.",2016-11-12,1223,1.08
2083,"Постачальник №2083","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-05-01,1806,0.25
2084,"Постачальник №2084","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-11-21,362,0.12
2085,"Постачальник №2085","Відомий постачальник зоотоварів широкого використання.",2013-01-13,1976,0.3
2086,"Постачальник №2086","Відомий постачальник зоотоварів широкого використання.",2016-01-04,816,2.32
2087,"Постачальник №2087","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-08-19,601,1.32
2088,"Постачальник №2088","Постачальник товарів люкс-класу.",2019-05-09,1283,0.13
2089,"Постачальник №2089","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2014-05-28,886,0.88
